id,name,tier,domain_name,region,is_active,mrr_usd,created_at,updated_at
ee9c9e43-9316-4bc9-9409-31c640caa432,Cursor,starter,cursor.com,us-east,True,266,2026-04-02T07:59:48Z,2026-06-08T04:21:11Z
d86d0fb2-1ea8-4798-9fca-4f3d3cffaa2e,Raycast,starter,raycast.com,us-west,True,438,2025-10-20T08:08:55Z,2026-05-15T09:02:20Z
5ad60768-a84c-4ace-af58-ea600e2ebc08,Granola,pro,granola.com,us-east,True,2972,2025-06-21T22:59:16Z,2026-05-15T07:10:37Z
d66fec85-1acc-4b26-a39f-24575a0f089f,Linear,free,linear.com,ap-south,True,0,2025-12-15T05:14:11Z,2026-06-02T02:47:57Z
6ea0d481-9c62-43b7-ab9a-04e28a158311,Vercel,pro,vercel.com,ap-south,True,1358,2026-03-10T03:16:17Z,2026-05-31T07:12:58Z
a0858977-2d38-4059-9856-d47cacb00f5a,Supabase,starter,supabase.com,us-west,True,481,2026-02-16T07:57:18Z,2026-05-17T02:20:24Z
aece0bb3-2c4c-4756-b30f-9d86c3f4eeb9,Retool,free,retool.com,ap-south,True,0,2025-12-08T18:40:26Z,2026-05-26T04:54:44Z
2ee593d5-685d-4d48-8897-1131aa33217e,Clerk,starter,clerk.com,us-west,True,302,2026-01-19T12:01:25Z,2026-06-06T10:58:27Z
e78330b1-cc33-46ce-b240-65f81170b97f,Resend,starter,resend.com,us-west,True,178,2025-08-11T05:49:38Z,2026-05-10T06:38:05Z
f3a8ffe6-5d82-42e9-9120-eed4b624a4d8,Loops,free,loops.com,ap-south,True,0,2025-09-13T18:53:16Z,2026-06-08T09:58:05Z
0953d0cd-c492-4eab-a450-f7241d971f7f,Liveblocks,free,liveblocks.com,ap-south,True,0,2025-08-20T08:16:33Z,2026-06-03T21:30:29Z
7c1d69b4-0a82-4484-9123-260d6f6d731d,Trigger.dev,free,triggerdev.com,us-east,True,0,2025-10-30T11:05:59Z,2026-06-06T14:47:20Z
641766dd-2d7f-47eb-a720-160e1705a1ca,Inngest,enterprise,inngest.com,eu-west,True,18574,2025-11-12T21:49:50Z,2026-05-31T10:17:51Z
414a4601-ab44-4450-9b15-b2ee59e58d86,Neon,pro,neon.com,ap-south,True,2294,2025-10-27T00:59:13Z,2026-05-26T10:47:08Z
b5a4e6a9-34c1-44b3-8876-989416fe342b,PlanetScale,enterprise,planetscale.com,us-east,True,4029,2025-10-22T17:22:25Z,2026-05-24T12:32:45Z
2d46dc44-28ad-469f-b29a-5bcf7e1ba1d1,Turso,starter,turso.com,eu-west,True,98,2025-08-31T17:49:06Z,2026-06-05T21:29:58Z
b9677596-1d57-4d5d-951f-71e4f57d4c8a,Render,starter,render.com,us-east,True,177,2025-08-30T04:19:48Z,2026-06-02T23:12:11Z
50630fb6-8b97-4b94-bbbd-1f7319a1c872,Railway,pro,railway.com,us-east,True,882,2025-11-19T06:59:44Z,2026-05-14T14:15:25Z
03958e40-49eb-4641-87d3-ec15622cfa72,Fly.io,pro,flyio.com,us-west,True,1668,2025-12-08T20:17:03Z,2026-05-18T14:30:09Z
a56ba357-317b-44aa-bdc6-4194af072333,Deno,starter,deno.com,us-east,True,79,2025-11-12T14:36:14Z,2026-06-07T05:38:52Z
07d7f730-7f40-4bc3-91a6-9d47190e0f43,Val.town,starter,valtown.com,us-east,True,111,2026-03-23T08:44:41Z,2026-05-11T09:59:58Z
c27ffcd2-e5a1-47c4-81f7-b1c6cba816c1,Coherence,enterprise,coherence.com,ap-south,False,9693,2026-03-15T13:49:35Z,2026-06-01T02:43:59Z
a58b027f-963a-45e4-aa34-6c7c065e6fcf,Zuplo,starter,zuplo.com,us-east,True,185,2025-06-29T23:40:31Z,2026-06-04T22:09:25Z
3bffa67d-5d07-4984-a58f-157b145e8e0e,Speakeasy,pro,speakeasy.com,ap-south,True,2771,2026-01-12T20:54:01Z,2026-05-12T03:30:36Z
a3ad66a6-3388-48ea-8bbf-56e9ac00dbe6,Stainless,pro,stainless.com,ap-south,True,1333,2025-07-12T03:41:42Z,2026-05-20T22:25:02Z
d820e09a-a298-49c3-8ce1-756486d1699e,Mintlify,free,mintlify.com,ap-south,True,0,2025-07-26T01:36:07Z,2026-05-10T16:00:54Z
4bbfe4d3-869f-4204-b25a-1776a3df350d,Fern,free,fern.com,eu-west,True,0,2025-10-21T00:16:47Z,2026-06-04T15:45:31Z
42d183d0-88e0-43fb-b100-707db8e02e22,Scalar,free,scalar.com,eu-west,True,0,2025-08-09T13:19:30Z,2026-05-22T13:25:42Z
2af242a5-22a2-4fb6-97f8-ba607401f8d9,Encore,free,encore.com,eu-west,False,0,2025-07-01T15:25:28Z,2026-05-11T17:35:23Z
21c5fa13-b191-4931-91ee-6127d3e1d7cc,Depot,starter,depot.com,us-east,True,163,2025-08-28T19:08:06Z,2026-06-02T08:27:35Z
